# Pilot Companion shared schedule feed
# departureZ|arrivalZ|flight|origin|destination|position|status|pairing|hotel
2026-08-11T05:27Z|2026-08-11T17:10Z|UPS008|CGN|SZX|F/O|REVISED||JW Marriott Shenzhen
2026-08-12T21:05Z|2026-08-13T07:08Z|UPS071|SZX|ANC|F/O|REVISED||
2026-08-20T09:13Z|2026-08-20T15:20Z|UPS71|ANC|SDF|F/O|TRADED|A70327R|Galt House
2026-08-21T08:42Z|2026-08-21T16:40Z|UPS213|SDF|CGN|F/O|TRADED|A70327R|Cologne Marriott Hotel
2026-08-25T03:47Z|2026-08-25T15:30Z|UPS14|CGN|SZX|R/O|TRADED|A70327R|JW Marriott Shenzhen
2026-08-26T11:10Z|2026-08-26T21:13Z|UPS77|SZX|ANC|R/O|TRADED|A70327R|
2026-09-04T07:13Z|2026-09-04T13:26Z|UPS197|ANC|SDF|F/O|ORIGINAL|A70659|Galt House
2026-09-05T11:26Z|2026-09-05T20:31Z|UPS36|SDF|HNL|F/O|ORIGINAL|A70659|Ala Moana Honolulu by Mantra
2026-09-07T06:45Z|2026-09-07T16:20Z|UPS35|HNL|ICN|DH|REVISED|A70659|Sheraton Incheon
2026-09-08T12:50Z|2026-09-08T20:51Z|UPS99|ICN|ANC|F/O|REVISED|A70659|
